StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       04,      00,   201505,    .93,   60.8,  -5.11,  -5.11,   -.44,  -5.11,     23,    196,     .3,   -.27,  -1.38,   -.81,   -.85,   -.85,   -1.8,   48.4,   73.2,
       04,      00,   201506,    .23,   74.4,  -5.13,  -5.13,  -1.66,  -5.13,    197,     13,    -.2,    .12,   -.35,   -1.8,   -.91,   -.79,   -1.8,   59.6,   89.1,
       04,      00,   201507,    .66,     75,  -4.85,  -4.85,   -.75,  -4.85,    233,      1,   2.74,    1.2,    .74,   -.93,    -.8,    -.7,  -1.76,   61.4,   88.5,
       04,      00,   201508,    .08,   76.5,  -4.75,  -4.75,  -1.18,  -4.75,    300,      1,   -.87,   1.32,    .66,  -1.17,   -.73,   -.78,  -1.83,     62,     91,
       04,      00,   201509,    .33,   72.1,  -4.48,  -4.48,   -.66,  -4.48,    237,      7,    .07,   -.39,    .65,   -.12,  -1.77,   -.85,  -1.86,     58,   86.2,
       04,      00,   201510,     .9,     65,  -4.48,  -4.48,  -1.38,  -4.48,    112,     48,   -.19,   -.34,   -.51,    -.1,  -1.06,   -.92,  -1.72,   52.6,   77.5,
       04,      00,   201511,   1.87,   47.6,   -4.3,   -4.3,   -.86,   -4.3,      0,    397,   -.25,   -.39,   -.45,    -.3,  -1.27,   -.95,  -1.65,   36.3,     59,
       04,      00,   201512,   4.69,   42.3,  -3.57,  -3.57,    .86,  -3.19,      0,    567,    .57,    .21,    .09,    .18,   -.02,  -1.29,  -1.12,   32.8,   51.7,
       04,      00,   201601,   6.39,   44.5,   -2.3,   -2.3,   2.71,   -.84,      0,    507,    .91,    .92,    .67,    .54,    .61,   -.19,   -.45,   36.1,   52.9,
       04,      00,   201602,   1.21,   51.8,  -2.99,  -2.99,  -2.78,  -2.55,     10,    270,  -1.14,    .09,    .28,    .01,    .06,   -.52,   -.72,   39.3,   64.2,
       04,      00,   201603,   4.88,   52.5,  -2.08,  -2.08,    1.8,   -.95,      6,    336,    .94,    -.1,    .43,    .37,    .42,    .29,   -.54,   41.3,   63.7,
       04,      00,   201604,   1.52,   57.9,   -2.1,   -2.1,   -.68,  -1.19,     22,    212,    .12,    .77,   -.13,     .4,    .31,    .36,   -.47,   45.5,   70.4,
       04,      00,   201605,    .77,   62.2,  -1.89,  -1.89,   -.03,   -.98,     33,    159,    .04,   -.01,     .7,    .51,    .31,    .34,   -.42,   49.6,   74.8,
       04,      00,   201606,    .27,   73.5,  -1.88,  -1.88,   -.55,  -1.13,    201,     14,   -.03,   -.07,   -.07,    .36,    .32,    .37,   -.38,   58.6,   88.3,
       04,      00,   201607,    .06,   76.8,   -2.3,   -2.3,  -1.85,  -2.05,    282,      1,  -1.04,    -.5,   -.26,   -.18,    .37,    .27,    -.4,   61.6,   91.9,
       04,      00,   201608,    .06,   76.2,  -2.55,  -2.55,  -1.44,  -2.55,    268,      0,  -1.09,  -1.84,   -.97,    .58,    .47,    .28,   -.45,   61.2,   91.2,
       04,      00,   201609,     .1,   69.5,   -2.7,   -2.7,  -1.23,   -2.7,    145,     21,   -.97,  -1.48,  -1.75,   -.54,    .26,    .24,   -.53,   54.8,   84.2,
       04,      00,   201610,   3.82,   60.5,   1.57,   -.85,    4.7,   1.19,     47,    127,   2.16,   1.98,   1.83,   1.53,    .35,    .67,    -.2,     49,     72,
       04,      00,   201611,   2.16,   52.8,   1.24,   -.92,   -.49,    .81,     10,    267,   -.05,   1.13,   1.01,    .86,    .97,    .71,   -.17,   41.8,   63.7,
       04,      00,   201612,   4.49,   43.4,   1.38,   -.56,     .8,   1.37,      0,    524,     .5,    .24,    .95,     .8,    .67,    .67,   -.39,   33.9,     53,
       04,      00,   201701,   9.92,   42.2,   3.61,   3.61,    7.1,   3.61,      0,    573,   1.78,   1.59,   1.42,   1.77,   1.68,   1.29,     .7,     34,   50.3,
       04,      00,   201702,   7.94,   47.3,   4.76,   4.76,   4.56,   4.76,      0,    419,   1.55,   2.08,   2.04,   2.24,   2.18,   2.31,   1.23,     39,   55.6,
